location,Basel,Basel,Basel,Basel,Basel,Basel,Basel
lat,47.75000,47.75000,47.75000,47.75000,47.75000,47.75000,47.75000
lon,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000
asl,363.653,363.653,363.653,363.653,363.653,363.653,363.653
variable,Temperature,Precipitation Total,Relative Humidity,Wind Speed,Wind Direction,Cloud Cover Total,Sunshine Duration
unit,°C,mm,%,km/h,°,%,min
level,2 m elevation corrected,sfc,2 m,10 m,10 m,sfc,sfc
resolution,hourly,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Precipitation Total,Basel Relative Humidity [2 m],Basel Wind Speed [10 m],Basel Wind Direction [10 m],Basel Cloud Cover Total,Basel Sunshine Duration
20220108T0200,3.2002454,1.1,92.75064,20.696087,220.06079,71.0,0.0
20220108T0300,3.3402452,0.3,93.3614,21.30093,239.53445,54.0,0.0
20220108T0400,3.6002455,0.1,94.31821,22.104116,253.92644,85.0,0.0
20220108T0500,3.5702453,0.1,91.78622,18.448023,264.40067,85.0,0.0
20220108T0600,3.2402453,0.2,90.05904,14.869351,263.04706,69.0,0.0
20220108T0700,2.7102456,0.0,88.58649,12.522619,251.56506,51.0,0.0
20220108T0800,2.6002455,0.0,87.42484,10.883676,235.7843,39.0,26.929293
20220108T0900,2.6702452,0.0,87.05258,13.584932,237.99463,68.0,18.78788
20220108T1000,3.0902452,0.0,80.46265,15.876775,237.0306,85.0,8.48485
20220108T1100,3.7402453,0.0,76.55896,18.709612,239.98164,87.0,7.2727275
20220108T1200,4.4702454,0.0,71.139595,17.429354,231.70984,98.0,0.6060612
20220108T1300,4.8402452,0.0,69.57048,16.992609,216.38435,14.1,51.454544
20220108T1400,5.0502453,0.0,69.00832,16.485485,211.6075,64.0,21.212122
20220108T1500,5.0702453,0.0,68.00919,13.049689,204.44395,95.0,2.4242413
20220108T1600,4.9902453,0.0,68.79307,13.1041975,200.9245,98.0,0.58754265
20220108T1700,5.4102454,0.0,69.543655,13.661038,198.43495,98.0,0.0
20220108T1800,5.2402453,0.1,74.91126,14.458382,198.8861,99.0,0.0
20220108T1900,5.440245,0.3,79.33797,16.808569,189.86581,100.0,0.0
20220108T2000,5.5902452,0.3,81.31815,18.03237,183.43362,95.0,0.0
20220108T2100,5.630245,0.3,85.12032,18.416384,184.4846,96.0,0.0
20220108T2200,5.880245,0.8,84.66931,17.294992,182.38594,97.0,0.0
20220108T2300,5.5802455,1.2,88.627106,20.969805,191.88866,99.0,0.0
20220109T0000,5.750245,1.5,90.66939,20.833395,198.12186,99.0,0.0
20220109T0100,6.2202454,1.4,89.69488,27.80403,221.3255,100.0,0.0
